,Unnamed: 0,datetime,FIC2003_valeur,LI2001_valeur,MX2001_valeur,MX2002A_valeur,MX2002B_valeur,MX2002C_valeur,MX2002D_valeur,MX2003A_valeur,MX2003B_valeur,MX2003C_valeur,temperature_ext,TI2001__2_valeur
963,6101863,2025-05-29 05:59:00,45.26461414714439,37.70714935889611,10.58193969726562,132.1837005615234,114.5880966186523,112.1443023681641,96.17594909667982,119.17009735,116.0896987915039,80.33907572428392,17.0,26.16407362325936
964,6101864,2025-05-29 05:59:10,45.26381939060083,37.70827924812232,10.578147438337204,128.5357971191406,127.4807968139648,107.793098449707,93.83940887451172,116.4854965,118.0423507690431,80.75710805257154,17.0,26.16411172210722
965,6101865,2025-05-29 05:59:20,45.263024634057416,37.709409137348494,10.5743551794088,157.4683074951172,126.48539733886712,111.20549774169916,98.0614725748696,123.21854780000004,119.995002746582,81.1751403808594,17.0,26.164149820954965
966,6101866,2025-05-29 05:59:30,45.26222987751386,37.71053902657478,10.570562920480414,154.51583862304713,125.4899978637695,114.6178970336914,102.28353627522785,129.9515991,117.138702392578,81.59317270914718,17.0,26.16418791980278
967,6101867,2025-05-29 05:59:40,45.261435120970376,37.71166891580096,10.566770661552,151.56336975097656,133.3161926269531,119.8870010375977,106.5055999755859,115.0167999,114.2824020385742,82.01120503743483,17.0,26.1642260186506
968,6101868,2025-05-29 05:59:50,45.26064036442685,37.71279880502722,10.56297840262359,148.6109008789062,130.73726145426434,105.1524963378906,92.5936508178711,117.24124905000012,115.83373514811198,82.42923736572266,17.0,26.16426411749838
969,6101869,2025-05-29 06:00:00,45.25984560788332,37.71392869425341,10.55918614369519,121.5798034667969,128.1583302815754,108.15069961547844,93.22845077514644,119.4656982,117.38506825764998,80.73802947998058,20.8,26.164302216346147
970,6101870,2025-05-29 06:00:10,45.25905085133976,37.715058583479696,10.555393884766785,156.3596954345703,125.5793991088867,111.1489028930664,93.86325073242188,111.46904755000008,118.9364013671875,79.04682159423837,20.8,26.164340315193968
971,6101871,2025-05-29 06:00:20,45.258256094796295,37.71618847270586,10.55160162583836,144.6412048339844,124.3694000244141,105.9452972412109,99.51384735107422,103.4723969,111.621696472168,77.3556137084961,20.8,26.164378414041785
972,6101872,2025-05-29 06:00:30,45.25746133825278,37.71731836193211,10.547809366909954,146.44725036621088,130.5386047363281,108.62754821777348,97.02829742431628,113.8723984,113.52429771423354,81.00823974609375,20.8,26.16441651288953
973,6101873,2025-05-29 06:00:40,45.2566665817093,37.71844825115833,10.544017107981563,148.2532958984375,129.52230072021482,111.3097991943359,94.5427474975586,116.0991974,115.42689895629904,80.51232147216805,20.8,26.164454611737355
